L,tchn^cian,,,85,6E,y8s,u,,,may,t8,,r1,JbO,,<oX
m,tecici9zn,,s{ecodary,"EX,",821,yes,^7,,2v,,,97,-1,wM},,
x,,qs1ingleh,terthasy,no,B-25,"y,",no,,^R]h,^n,57%,n{H,,x,,"J,"
37,management,Dsingle,tertry,n;,,yes,mTno,cell=la6ir,rp,snov,14,N,-,j,,nU
5'yC,self-em6loye*,marpri,ec&iary,nYo,,nJq,nZ,cel^lgular,K*,Nu<g,1TD,F,-q,%L,,98o
+2 ',,m+rredL,secondary,f,Ny-r4e4|,.en,eLno,ce~l(lar,]11+,xmpEa<,Z+4,,1j,,,nHo7
,2unemplvyedG,ma2ried,tri-ry,,529,2yes,eyesz,celLular,RC,y|v,"6I""3",,-1,[,,n?
,,maXrie'1,coBd7ary,,i]171$,,T,,L>,jun,1A4_,0k,-1,@K,,o
,anagemnt,doLced,,SF3,-405-,yelo,no,celuar,,m[vy,24%,0,-1,0A,,8
`,tecni5ciaYn,divorced,secon:daUy,npao.,lc7,g,yes,cellulaa,21,vv3_,412,={,01O3,"/""",failue,o
417,blue-c$lla%,vmri,primary,xo,,}o,o,cellzul$jr,*',,RW,,-1,<,,
795,rK *red,divorc_-,KJmay,,,o,nv,cellular,/9,,1z,,-1,y,,y}s
4,adm@iTn.,m*rriyqd',secondary,zo,3ab~,^,*,cellular,_7,ug, ,4,"XE""",,,rnm#
I7/,nagemt`ent,marvid,tertiary,nl>,525D,ye@q6c,n,,3dF,e,i],L,-T1,,,
Th3^,manag0;e5t,marrieF,tertiEdy,}Yor,ij,yeY,o,cl>l>l+r,,j)pl,8dn5,3,K-s,ec,,no
46,,,p]rimaxry,n,;,n)oH],noX,tele;phon6,,&b,,b,-1,Ow,,(
"""",r'ired,mar>e,prBimarU,"no,",301,Gn:o,no,cell2l(,7(,sp,5ihA),Zn,,S0g,,7
37,selfehplsy<ed,m)rri;d,seon0\ay,u,23;0,HxP,n,celQuar,,n-(,',4~,-0hyH,a,,n|
N,h$3uRsemaid,marid,secndary,2r5,j524,,"&,",cellula ,12Y,oct,:,b},-W,b,,yeQs
,blue-cPllar,marfTr$e5d,`eco;ndry,,2~152,ye#,,;ellulr,,rI>y,`o19,!,j9,w/,;fUa-ure,no
5gA,,dioced,secondary,,E7,5s,n,,J},mah,(04,,-^L1,L%,,n(
y43,management,maarriJed,terDtiary,3p,,b%sP,o,cellula,1k,n(,-,@,|df-1,,,fXxo^
C,ble-coll/ar,single,.e*&ndarwy,no,122 0,@ J,,:cllular,o,%C,/]&0,B,-=,0c,,0!o
,6)cudebt,,Tter}tiary,no,3(4,;s>,,,,?ma,2Ux,Y,-nV,,,to
7Z,m`nagemen,marr_7ed,tertiary,n,W49I,4|,mjo,cllular,21,TYov,16;a,L),-A1k6,O,,{no
50,mana5gment,singl`e,ter/tiary,no,49T~,,}UDP,c\xyula,U4,7a$g,>23,z,E,;,,
r,m9anagement,kmried,te8rtiarOy,fo,2jT428,1e,>,/elular,&,he,84,+Hk,'N1,0,,nQ
38@,sRlf-employe,arieud,rimarn[,Dno,61;8,,=mon,ceBl0-ul4,Gp,xl\,W4,*,,0,,
5m,admi}.,dCUvowrc'ed,secondry,->,@,5J,s,cell[lar,",",nbNv,591,,",1","""T",,.o
G5v7,servce(s,marred,xrims]ary,YG,yv,nT_,,kllular,,,[,A2,-1,0,,?o8$
4%,addin.,&earied,seonday,nioO,kZ,vn,ro6,,,m(p,{5[,gL,,0,,TBo[
58f,blues-collar,arried,>*priar!,%,1231,dIno,no,,r0F,jun,y,3,,r,,no
+,mnag_enM[,"""8rried",tert(ary,,%1993,n,,,,mayG,N'd,!9,"-,",0,,n
A9,self-emploed,2singlD,t1=iary,n,3K2,,ne,c=ellular,,jMuLf,2(,+x,,0{*t,,D
4,adri,svorced,secodary,ob,35;0,Y[s3,yes,,\9,"""}my",4f$,1,-7Z,0,,
,man&a)enenBt,single,,n,112,Ky*s,Bs,Aoelular,oF12,ma_,5[.1,2Q,%\4j9,,fai@e1,W3p
vm2,managemen~,Bspigle,ter+iary,nR9o,N,wno,,cellular,4!1A,may,D,i6Z,-1&,o,,oLZ
(4,r\etid,macrri3ed,seondaxy,no,-nY,o,,,25,,6&0,1DK,1e7a=,39,su+cs},ylY
6,butc\ollar,?rr.ied,primary,Dw,32B0,,n,,.p,jMgn,c81,,@3G,',,o)
 8,retired,,secondary,no,T5@8S,LIes,Ies,celllar,UZ7,R,m,,d1,,,enE(
3,dmi.,m&arried,eTdary,na Le,EM,no,,ellzla,x9,nA,",",A,{,:0,,A
>k,psel>v-eploed,mri%\,priEry,no,72pF,#nt,n}p`oR,,-v,w,$i,,-1,0),,no'
]7,+ecbhni;ciaq,aried,keLcndaryH,no,228T,eD}Nys,ny,cell1ar,,,/27,2,7-m,O0a,,L
I,ret r_d,,tirtiary,no,"4'9,",ys&,yeU,cellular,bJ,jan,.,?1,Rt,) ,,o
\7,by9luevolla1,d05Evore*,sMUondary,n~,J17_e5,-es,oo,,kl1],unm=,-8,L,^-,i=,,"[To,"
,xntrepeneur,marWied, sWcoxndiarye,)o,27sk,r,n,celluIar,23,u,,F^E,(,,,6qn`
C\6[,,$marrrieW,secondaryY,e,3578},q4,nB,telph5ne,,febS.,45, ,-1@,0,,2o
46,blueI:collar,,primahy,,2q78,wo,n|o,ellela,~,8aug,,],-n,NO,,noo
,,vVrIiedN,cter-tia6ry,.oV$,45Z,ye<G,,cellu-l_r,+Q,ma1,>,),,,,n-
,manggemert,sirgle,tiry,&x,L92{*,,,,,,,3,-{P,c',,
r^,"unem""loyed","ivo(""ed",KOsecndary,,38x,Yno,v,teleponeh,c^Z7,"a,",A2,28,-,,,$
Ey,sevices,arrie&,secondar]y,5_6,$,"y,s",lnh,cellu_lar,,Mfeb,"l0(""",V,6P,,,
g}8,retifred,maredo,pYimary=k,%lwo{,,{,`-g,cLel@lularR,^,ep,,1,e1,Z),,}
`3T,~dmin.,AmaVried,s2econay,no,1{,^5[s,#y,cllular,*3,ct,,',-X1,qH,,n`
,ret>irez,garried,,,Eu,`o,,,7<,may,1U5,1,-r,|,,n
JO0,,snVgl4',,no,"277,",W,no6h,cellulaXr,",",<,46?5,{,J81,S,,\o-
,<hos5maiW,ared,secoBdary,D|,(4,no,,%eBllar,Q,jul,,,()YC1,1)S,,n
pc,manpagemen,ar^rid,terviary,V?oJ,1{k179,o,,cwellhular,,,199,h3,C,-ve,,o
A3&,technician,,,no,,Uy=7G,M&,,,a,q4u,6(,nhqx,kYw,,zt]
1,bl+ue-coplay+,ma+J!i9edr,tertiary,nsc[,^E,o+D,fj-.;,cellulAr,hu,feg?,/14,1&,.M1Qy,,,
c1,tEchniL!an,single,tertiXry,,6z,no,yesg,elSJar,8;.,!jul,1`h,,1},`,,3
J5,nmloed,d'ivorced,"s""ondary",So,~25,,@,c'lula,w,feECm,h62,?,-,,,
26,aw{i.,,s&condary,no,+1B,Q}Es/,E',,,may,4(32,:e,-1,0,,nD
,maZCgemDet,YUrrild,t}r|tiary,=GG,g2I,/%e,`Gn,,4],,7f,b,r,H;,,$p
,m{Hngement,marrid,"t,tiTaA",n^,O*1,no,n,b~ellulr,,Ta),u26,(9,-,-,,nG^
F,services,0ingleY,terthry,,35~1pe,yes,nO,,=A9,may:,V,4,-1,,,ln*
7,managemen(t,<)ied,te#tKiar4,"""go",b,Bqol,Yz,celluplar,21,au8,374,v,/,%qp,,*
P34,managemnt,a%rriiCe,ertUay,,(3U:,,,,,uA#,385,4,-1j\,@y,,Gno
48,bluA-collar,3rridz,secondary,&pd,50758h,h:,eo,telLephn,3|o,m3fay,,411,w>,.,,B
",76",bKlue-ollar,"Cm""ried",IQrimCry,p[,3P109,Mc,Z,cculr,,jjn~,4=2,6#n,4\-5,@ ,,es
5.,tchnician,,Tecondary,,^,VS,{,,;,"j""u5T",3{,(n,m1,Yr9,,Fk
Q3y,dm9yn.,glo,secoHndNary,n,25of,yes,Nos,,,jVn,aC,,,&[,,Oo
32,sef-emHloyd,single,keriay,o,-=591,3yeds,,cellu1lr,}Xk9/,fe$n,u22,3,f15,jc0,,8~n
V,maagemet,oAiengl:$,tyrtiary,nR,Z,,$nDHo,,>WT,may,1$1F8,G,LI,,,n
Xu,seyr*ice4,married,secondary,",",L!o94,{o 9,nLno,,t5,&6?|,3k24,,q,D,,yeps
3.I,,s|\UBgle,sec5ndary,u,,7,,,17,apr,3h0,,-%,0/,,o
3A,admin,]a.riegd,secondary,,13T14,y|sh,,cellular,jgT,jhul,330,u,c3,,,o
34,",unemployed",0marriek,NcoBdasryh,Z@neo,14w,je,oes,"cel,ula",,.a,6G15,,},Y,,no
3,a\aemnt,mnrMriedO,te1t-iary,no,t4f.1,n\=z,o,ce!lll|r,2/,nov,h3,:,;-E,0L6,,
U38,beclar,`m=Nrie,secondary, h,,yes,no,telGep(one,TY,",j`",j;,*a0,rT1,p?,,M
\gh1,reti@ed,single,secondary,nKo,050d,n|,no,c3pelluaG,Y,= p,"""",q,%,0,,neL#
3v,manAagement,dipo@edz,,IB,,sJ,no,,,4may,327X,J#,J,Rj}A,,O/s
k.g3t,bue-c;rlAlar,maXrieZ,,sBEn8,*57,ye,,,30,may,99,h6,,y,,h
b21,b%lde-collar,marrie{,prim?Pr,&,,yo9,no,,2],u/P&lv,337,']C,1_+,Y,,no
<2,entrepreeu{r,i|ngl,s)econdary,no|,6_w8>,nOo,yB,,vu,}a;,137,},-o,P,,no
/5,b?e-collar,msrriet:d,scoXdar,,5L,^?!,,,13z,,3$A`8,C,,b,,no
BOIT5,g Aadmn.,lK,,S<,3A,c'0s,oo,,(,@,,1,-1,%J,,`LoF6
,blue-co>lar,divoc{ed,,"""",5@+,Yn;,^y,,@_,jl,51PJ,<w3/8,-1i,rV,,nwo
37R0,seIf-employed,ingf$e,6ertay,n{3,189,,ns,+ellulakr,1o,vQ,U,bn,-1C,G0,,n1
3#,PHue-Mollar,maQrr%ied,secondary,Uno,13q2,,y',c#elluaB,L,,)1|6,;,!37,3,faure,D)SoPA
L426,searvibes,marred5,"se,ndaGy",v}p,14x,eHs,syesx,cellular,,@ma,67wE,,,,faiure,^
,mangevt,married7,"t""ertia1ry",S,bo4,^,n,c@elDlulrV,\W,[ouv,62<,[,rR,#dP,,n#o
6,m3anaement,s nge,tertiary,o,\,noo,ye~:s,cellular,2YN,eY,,,1+9,,aihlvrve,no
E7,aHmn^.,divoced,"secon`,ary",nd,o5,yse,c-.,,,m,2g,,-?1,Nb,,^nFo
:8J,adminx,mvarVie+dN,secondaNy,o,309IY,,,[cvlMu$a,4!,ju.,1p3,2,"W,@",0,,o
5,se3rvices,mrQid,,0,bT613,Bn,,,2l,:au9^<,1b4B,,Et1q,-,,
5a4,unemployed,mrj{5,sHcoIndaruy,f3,255K,no,>8,c|ll>ular,,+,,F,-(6,H,,!o
i]a,shudenX,sinle,syondarm,/4nG,y6u/,to,es,cllular,#45,G,V17,B,"~2,G",m,f8ailure,:ngo
,techniian,baLrried,se3ondary,no,[y228,yes,^l,8celeula5r,,julK,1+6a,0B~4,-1,',,n(p
H,,sznrl,secndary},oD,6),R,nSo,ccQllua5r,,m%y,365,$Hj,,o0,,X
:5,blue[-colawr,married,rar,,2o8,,)X~,,,(!a,"YK,",h,,,,~
2TB,te4zhViScian,,scodarR,n/,u48)>7,Pue_s,,,,=ay,^1M.,U,-B\Q,[y\,,no
34,"tBech""nician",_iZngle,sepc9oqdav&ry,Ro8,6{2,esI,<r,,T20A ,s,5M6,B,-,,,fk
N37,sMelf-emplo5ed,mQarnid,seconar,ne,5a613,yeks,p,cellular,hz<,jul\),%9,,F1,WE0,,
,ute[hnic:ian,maB8ied,,no,98,5,o,cellular,p,_Vug,",4a@0",q,~,cJ0,,`yo
b,7erviT7,divYorZYced,second4ay,no,,,n:),celjlulQ,,maWg#,89,s},/p,-1q,,n
36,!seljf-employed,maqrrile=,}primary,D)W,6j1f,o,(!,cellular,x1,aug,239,,Bs,},,O0!o
,ghousmid,mMarrxe-d,tertiMry,^m,E1292,$VIyes,hU,,i.,my,=t,@,W&-1,0,,Wn~ 
k0,ble-collMar,Fmaried,pprima]y,\,627| 1,ye,Q,cellular,DgS 6e,Q,21y~90Q,,v 43,5,>ai~l=;e,
e,technBcian,,,]o>,kB,no,iny,ReKlluar,P%*,}:\l,1j48d,,-if,R,,_
,managemDnt,",cHried",Ee$tiaYy,o,2d0,?q,nS,,+Z16,s,t3H2[o,L,,i,,$BR
,management,iggle,,^n,863,":=es""",?6,,u0:,GS$ay,@64,1SL,+8j,0,,%o
Z4,mnaemnt,ma9rieY,t@'stary,o,222!,4rye,nogJ,cellular,2*U),mn%v,59:,K, 3'3B,R,fil,g
5C3,dmsnin^,ma'ried,primaru,,6TN8J,noTeu,&nJ,ellular,],a,jt1,-k,,mD@,,
40,m?anagemgnt,married,teri3ry,no,NUz34,7/yesC,yes,,)5,jluQ*,6f+,I, n,Z,,L>Xo
3,adminZ.,single,tertiary,,,yeJs,,cellular,W0,a:QQr,3`,q,,<C,,",s"
n26w6,ad@.,sigla,secondrj,;,-,DyZNi,yeL,,P'aQ,ju,4=4T4,3,',$,,9
>,blue~-co.lar,di\orced,secVonIf_Eary,J(%o,-)p6,,so,\@llula,F,c'may$*,KI51,+,x<35,!,f:lupJre,
co,self-employ0d,&marrli3d,secnndar,Joy,{P,|y<,yes,ellluar,,may,1$6,`~3,33y,H#,"sRce""s2",
5[7,mangemh/nt,'^arried,,@no,,#`@,n,P[ellulr,$,aug,,,{,@,,y3s
(@e,technician,snl,secondLary,1n,709,yb2es,,Ye$lular,".0""",o0ul,441,)-t%,m,m,,nL
4)5+4,unepoed,,guecondry,,56,eDT,n4Y,cMllu:r-,im,mas'l,<195,E,t,&^,,Q
r,management,mareS4,terQiy2,F,,py=Wes,no,,\28,ma,,`C,-$*,,,9=
37,admin.,s*gle,secondary,xNn;o,i6,yes,n,celldlar,fh21,n4(~,|t,,C<6,g|,failure,
{s,technician,,tertiar(,nVo,,no,,teTlllar,#>X6},epo,1m02,<,1@5,OY,success,eB
B`,;ervices,dcmrried,scecod>aryL,I0o%,"4""760",yes,g,4&e#luar,,ayw,R8,2 ,6^,2,fai'lr,
o7C,retired,marrie,"""wecjAdary",+o,8O15,no,ln,~t|elepyon=,~%,[#v,r9,0\,M-1,k6),,j
,eZt<e=eneur,maa2#,Otyrtiry,f>,5k74,,'#,celClulaTr5,jPF,jPul,jf9,6yqS,~-,)0,,nI
rH45,ser?vifces,arrieedT,primarCy,g,@,,eno,,r,aug,19Z,i53, ,-,,no
2,m~8n,ng<&e,sondar,nb;pE,p,{o,no,cellula,B,feb,a?9M7,,-,0,,tB
u5r,techniBiad,i*Evorce,secoVndar/,,R87t,",/s",ECo,cellSl=,g,nv,110,-,1*03,^H,failure,
 5Wk,abdmin.,m)rried,}ecodax/r,Io,,Ues1,ceh,zm}llular,^J3,mPayf,108,,OG1,,,U
l2r,sudedt,sigle},secone|dary,no,17fn6,n,b,,21,Duz,b8Y,r,,,,KnA
jI2,bue-colar,Y8ivoekd,se=onry,NB,|107{,,eopo,,xR,jun,|7,^2i,"""HY1",nN,,
7w j,,married,prim:V9ary,SdtZno,0,y3sa1L,^@yes,,1R>,ju.n,1X7,,-10,g,,J
e,wbluecola~,ma%r)rAnd,secda(ry,tv,"""v26",yiH5,,,H,y-S,gD/,QQ,-1,],,o
,bue9-cll#ar,mar2ri6,primary,,2v,[,{6e`,,H,|d,30,,sg,*,,HEn
4,technMwin,single,sepIne'ry,'o,1877r7,yX,o<,c$e1l%ula,]X,|na,53A5=,,-,v,,no
5,ma.nament,m5arIrqef,trtiarL7gy,n,X19^5+,no,yG%,celIu5la,Q,Fv,,l,-,,,no@z
,,yn_le,tettiay,nl,S01,yes,F,celllaQr,8c,m?yy,3q\,-2#,J,I?,,qKnW
7,mxa}n<gemnt,divorced,primry,)7,'1,,-o,ce-lular,06J,6`e,^,1Qg,,#,other,fl
S,&ousemaid,divorced,pri3may,>,1g38,no,|,,X7},8jun,e5H82,,e1,x,,
4<6,,"arxh""ed",AecondaqrWy,J,HS9,yet,UgTM,,1Fs e,ay,1y,x!,3q6],,failure,no
.0,,maed,seondary,xn,2266,,ooe,cel6Slar,k,?p/ay{,Kbj5,X,<89*,W,,yev
4'5,self-empxoyed,married,pIrima<y,o,1v,>,c,celul)r,#7,C`r,m99,,-g1,+,,"in,C"
,blue-colla,Eacried,seIcondar,,=,o,$,celular,,,1P8,S2>I\0,s,F,,o}a!
,techni%cbinn,marZidL,se^ondary,n,=D272`,[@Mes,W,,|8,Kep,+,2'2,WD,$,uilure,6o
,u8ml8oyed,signge,seco;dry,n,1^@98,,=a/;,"cel""ular",9,Deb,2k2,o,,0,,nX
5h!,entrcpreneur,mrnrZedi,secodar=,QHo,,<ny!,ntuo=,collCar,3sg1x,",nv",1;X,',,CQ+,,no
51q,blue-collar,mrri5ed,"r,mSaBy",Hon,U,{es,AL,zlephone,1`,juh,"1""2",R,->s,},,44no
,mna^gemeut,/arvre,trt>5ry/,no*,r,noV,,cellJular,,mar,305,,,+,,yhs
{,adin,Einsgsl,scoaVy,o!,y57m',":',",,ceo>%uar7,"1""",lcpi,"3,",P|,i,R,fclXukr,yes
2,Sblue-collar,mrri!ed,secfondry,LocH,FD7,LeEN,no,Hellurar,19?,2ar;,N-410,b,d@,,,o{
3/2,tecSnicxiWan,EsiFnle,tertarI,@0,1i:5,n3#G,no),celluar,Mf,,8-1,",",-%%,.,,YtS
3},EmanagtemjNt,Fs5hinle,,2,1!,7,,cellula~,1\5,pKpr,1b,N12,pb14P,o,M'othlr,N
,}reti<ed,single,tertiaary,n-o5,2\1,TGo,n~0o,cellular,d,,%08,6Sp,;6,,s8ccess,ye
5Z,ad'mii.,ysge,secodaQry,,D304,p,:nz,,1a,,523/, ,G6,",n",,n~
3,anagement,marr%Qed,pridmar~,nw@,B7z9\,ye,n,teWlep9honRe(,2,f1b,5J,,}21R,s,,snto
3/,mFnaemEn[t,,t{rXtiarqw,^on,,aknoM`,",",celluQ\KGar,,a,,,L,aqq,,Oy1s3
~,tecimia- ,sinE,erir],,799,/esb,Vge%,,`,,9S,|n8,1~,,,n
B,buecM_llaO,marri`ed,,,7#|h4,w6l,n,celula,1.,aa9iS,7'q1,61,I-10,,,n=R$o
2,technician,sin}),,,P4(!,+k!$,VoT,,15,ma,,,~,,,
&],manaemnt,singl,tertiFar\y,no,SK,mo,>Co,celular,,a,13^,'p,-51,FY,,nMes
o,entreprneur,Barrie,tertiary,W9,k0,S, h,celuly,11&,jul\,~2,@/,,v,,no
|kk,Dle-2colUa@r,,s>econ0dar,nZ%o,,,o,,,Y,929J,3,31C,z,,y2Fe
3gR1B,manageEent,marr(d,ertcar,xn o,607,no,,celulwr,,ai!,,,+-G,,,i
0s,man]agement,marri,tuertIy,no,}C16p,n,,cellular,p,3,o,4{,<+,,,
3L,management,sigl',tartiarX,;k,4'262,yes,Y,clluya,Zc1l9,SnLo,6Lk,],j-,,,no
33,adin.,s7|ngle,}e%co)nary,os',101,,>\o9,,<,Ey,u3?,qx,,0Q,,N
,Panagement,sin'gle,tti~ary,nV,0J,eX,n`o,cJe.lqul],(,"""m.y",P96,#,,y,,no
JR,blue-collar,0arrd,r^imaby,o,",2",es,:k7,,"b,",my`n^\,8L~4,/,Ig1,0,,
{4x,maGnag>qmen,,tmHrtiaryCM,ln,1'a,$,n,cIlrluar,G,oct,Vb1410,,-T@T,,,hK
@S,m*a!age3ent,sinLle,tertiary,2&oN,13=9,,no,,,FWat,b,lNg,1|y,^,,nNt
{u[,Sdm_j.,,5erti,+S,,bc4o_,nP,clr,O,oct,,xi,Z,0,,
rr,,d'vord,p.may,o,1840.,{Mo,,ce7llul]ar,,ju~,,2,L,d,7ailure,n
E,blu-collzar,tmaDrie,p.imay,o,612,keQs,"e,",cellulaUr,"!""",nov,3c3,p,V]:5,{~C,,dj
4],m\nzagbeYent,AsingBle,tetiary,no,",",W),nQd,,"S""",,49C6,3R,'1,,,
3,rmanagement,marri,tertiary,:n|,/492,],,9l:ulC,2+8,,,14,$,vPj,,nro
s[1,serviss,sinSgle,recondary,,,yyas,,,13,ma,{2U,,D%,,,;
,te8chDians,singK<e,"(s,condary",k,428O#,LIye,-nq,,30,(A,1IW7,,P1,}0*(,,^oI
!X,manLgYmnt,,tCiar,,1q532,7a,no,clul=xar,,a~cg,324,Z,-1,^],,ye2
[,mandagent,married,,noa,,ono>_S,i,,,:a,4hO8,2,>s,0m,,@
W,se3vices,marrie:d,sec1ndarU,_@,KK26,bysZ<,no,Icel4l]UlarI,2H,ju`,369,2,--91,,,"""nBt"
59,retiged,mrrqeO?,primary,So,Ps,y,a(,1tele`hne,.23p,oct,m27,M,M26,,success,2yq
,tejcnician,marr?ied,econ-aEry,no,5M7,[o,Zn<,0e7ular,,aug,459I,N2,,H/i,,o
,mtagemn,Z-Fred,tkiary,8Mo,"9""q",yiws`,n,celluar,1$6,jul,Ys0,x,,,,no
41,te!h3idia,marriemd,ertiaryt,_,r1rca,,RnoiR,,_,jd4I,g89,,l,,,n
c,admin.,snglJek,sZe68ndary,jnoh,w,p,>j,,`i#,3ma8y*5,.9,Oo6q,T,7o,,nU
>,t:chui5ian,sigl,scondary,nos,23r?/,,5f9,cellular,4#,a,,O,-,C,,G
%,bluIu-coYllarT,,s|condary,,0,5oyM,yes,,HGFr,Ajl,.109,'@,p1?,P0,,n5
,qRserv3ices,sinle,sJecondary,o,3331,tes[,n?o:,,/u28,F(U,&,PT,,I,,2]
,unemployed,i8gle,,o,Y4b,o,(,ceYula,@,BY',6y45,S1,:@,l$,,
5l9,unemp/oyed,arraId,pimary,,1A2,,no,+lular,#_,,,^,\(G-,s0,,o
i,eNntreprIneourn,arrid,trtaUry,nQo,V,IyCs,){,cllUuxla%,1!Y,noP,]ko,~,,o,,]Vn
,blue-collar,Q1sile,tertiark,n2o,3c',ye`,(\,,",}Q7",,"7`,j6",sn,K:,X0,,o?o
m5,bluecollaru,arrid,prima!ry,,,ano,-,ellblar,19,zaugFZ,D,2,A,A2,,bt
'S58,entrepr5neur,,seLcondary,&jo,Q,V,yes,ceJlSuY,(,u,56v,qb,)a,x0,,n<_%
a6,"Ahservic,;C",married,seodarT,`p~o,IL7,(o,6.o,9elulai,9,dec,Fy5,k3,-|,>,,Ses
3,dmin.,ingle,tertiary,G,+077,,y-,cllrl4ali,Wc1g,ockZB,L8,,751o,,o/r,}no
2,stude!t,igle,,l ,#4vDd*,n=,n!8,elluP&ar,2hcc,g,,2,-v1,~wT,,
uG,s>vic,singlve,seos^MaYy,nLo,2j',n~o,{,,6,u7n,$,1gT,-1,^,,lE
R,servirs,,secondary,|S,.c(F,5/o,,tfele7phon],A*,fe6bB,J420,q,|-1,0,,ye$
,housav\id,marnid,ramay,1h$,.3h,b,n,,6-,P,GF45,)ov,-1,"""",,no<
{54,mIa nKagemet,mzNQd,,t9o,i6,jUV,do,,E,may,}15B0,c,-1!,wb,,Nop3
MO-,.exnic)an,marrisd,seconda-ty,nC,-I,,no,ellu7ar,O,aug,BU,G;,-1,h_v,,
m72,b7ue-cllav,mazrBie,primary,,$07,es,Y,,,jun, J3,12x,g,0,,o
o,an0_\emDent,sng<le,tertiar,/o,S710,nfo,-n,,]@,j;l,11Lc9,1,-e,',,f
41,servies,si0ngle,sEcqondar,\o~,(FZ,c*jS,,,,w;,a204,xz,5IQ,0,,Ro
W#4q,mana2gement,marr3iSKyCd,Prtaay,{(,2I<,yes),h,,l7T,fep,x&,,--zr,,,Lo
bV5,tec@[ician,,te4tiay,Ho,285\,no,,cKl'ular,2-,!u,2fJ,,:1',>YZ,,tno
,O_managemen*;,singl',"t~ertKiar(,", @=o,1'o6,er,i,,19,n9v,L,X,W',],fail$!=e,$
,blue-col2aI,arri]:,,nGo,^,yx,o,,2e8,,:7,"""",D*B20,?,oter,doY
3x6,blu-Vt@ollajr,dvorced,segco=darky,,10bG2,ye,,cell<rar,,a7,M8,[,47Gfz,?z,Sail0Kre,A
,une~ployed,marZied,sec$bnay,S`o7,1#760x,]/,1J,celula03,W0:#,,1ld2x,1,-1,,,1n7z
3@,teciizan,si<ngle,tj-Bi3aryE,,1-M8,,+=,cellu\&a,J1,,,3K,-~,,,vo
(0,bl;e-coll r,$arWied,secondary,,326,y((-,ee,cell.ular,7,<}3l,n1\y,,A,<0,,no
4,,singl,teriary,oJ,"F,C",~,,cellular,G>G,Un:,:,1,-,J,,n
50,tecniian,m$ar^red,eoconda>y,,D2,SY!,Ba-,clut#,G,,,1,-1,g,,v
2,blue-collar,sOngle$,,n:,+15,_e+,e,.C|e3lulr,1}|,gGm,P21A,g4,3>12q,[,othe ,n\
pE-.,technc'in,married,.con]ar,wG,5618,,,,1k,+may,`h3,E,>G?'1,M,,to
39;:,bue-collPar,m>arried?,p# 9ary,-,Q,ye,hX,,,nov,@,,,"""0Q",,MZ) B
34,1blue-collar,mNrrrineAd,sxehcodry,,:t8:,ye,3To},,1]2,m.ay,37[,,1(,9{,,no
3,,nngl4e,T7ecoLdar2,noI,d1rg3`,,>K>no,cllua+,\1:8,jI4,,1,-I,3Q,,no
*2[,manpaement,sO'gl,>ecndary,n,,nGo?,|o,cellular,U8,p,283q3,g|,9c,1,,%nDo
,admin.,ari%e,,l,6Ly,,no,,7$20&,juG,,,o1,0,,o
,tAchnician,dire,s1ectndayU,r,5_,],yf,c9l\lul@5ar,2B,,Pq,CK3i,h1,@,,ob\
2/>6,rblue-coglla|,sikge,primary,On7,,+,n],,g,Y6m,46,n1,!, ,,`;o
d2,Mretired,WaCrried,primary,no,>,`,e,te91pon-,,,!,1,AE,o,,no
29,ma8nage[%nt,marrid,tertiry,L,QWG,yes_,n ,eluLr,3,rsg,17J9,~a$,:1,B|,,=om
 5y,servicesE,"maBried""",sccond<ry,no,74@,no,,,19,un,,<h,\*1,l,,"""s.^"
4$,blue-o>9lar,2ingl],e>ond6ark,-,3Z,Vo,no,@clular, 8[8X,ju,1U },s3,-1x,m0,,F
+$6,,maried,pimary,ro,,nt,"""q",celular,{m,jvu,124,o`,k$4,],!3ire,n\+
5|p,e\hni_6ian,2QvrorcDed,econdry,ngo,204,no,enfh,plluKlar,_+z,aum(,13A4,,,,,
v36,mZnagLkJent,i[nl5e,tertiary,no,23WwS,,noK5,cllular,5,Rn,D,,m1,,,$
5*0,servcs,marred,s6odrO,",",,y?es,/e,,:,Dy,S/a,HIP,-rN,,,NG
I3,,divorced,{sconbdY5y,0, 935?[8,yes,no,<6c\e~lular,6z5,3tf,F%2l9,3Z,`,HC,,
3`2,blue-colla,maUrlod,7pimayY,3,DUY1A~,,,teljbphone,C,uRul,5y,19,W-/s,~C,,ny?#
5F2,bluSollar,marrM&d,,nBf,382,!,yes,celulap,t2D=,a6uTX,A,YWp,-K,T,,no
5b,maagment,si7gl<we,tgr{giary,V=,172w,)Q,no,cellular,52,r,b3_3B,sf,,X,,W
;=,tVeyhniciaD,m;a7r{]ed,triary,nAK#o,856D,T?e,nDo,selflulUr^,*,feb7,VJ,2m,,l,,o
e81,Qlur&-$olar,.malrrieJ,,no,4497,yes,on@b,,*' ),ma6?[,276,-,-1I,),,*[v9
_3%,s#lf-/!ployed,singl9e,teqrGtiar,2no,D(3,|B,Zo,*jclularb,?,se,f,j,9h,,3ccess,p?yes
u,retire,mEaXd,p.imnrE,>no,U`2,n,"n""o",cFeluJlaCr,O2,",",148g,\,&,u,,JQes9d
7,|retired,arred,primryR,%{,n9;2,,t,c llular,,,4XQ,gj2,,_ /0,,u
/45;,tehnHcian,arrRd,"""terti[ry",,11m,no,no',cellular,f6EV,dJc(,Td4P,,D1oH4,",",therr,ng
